project,amount,billDate,type
FE5AB/6AB,-19125.0,2019-10-01,01-Vendor
FE5AB/6AB,-18279.38,2020-10-01,01-Vendor
FE5AB/6AB,-18039.27,2019-12-01,01-Vendor
FE5AB/6AB,-18000.0,2020-04-01,01-Vendor
FE5AB/6AB,-18000.0,2020-05-01,01-Vendor
FE5AB/6AB,-18000.0,2020-09-01,01-Vendor
FE5AB/6AB,-17220.0,2020-02-01,01-Vendor
FE5AB/6AB,-16850.0,2020-06-01,01-Vendor
FE5AB/6AB,-16297.85,2019-11-01,01-Vendor
FE5AB/6AB,-15900.0,2019-10-01,01-Vendor
FE5AB/6AB,-15350.0,2020-07-01,01-Vendor
FE5AB/6AB,-15172.5,2020-03-01,01-Vendor
FE5AB/6AB,-14737.5,2020-10-01,01-Vendor
FE5AB/6AB,-14503.125,2020-11-01,01-Vendor
FE5AB/6AB,-14070.0,2020-12-01,01-Vendor
FE5AB/6AB,-13233.33,2019-09-01,01-Vendor
FE5AB/6AB,-13013.0,2020-07-01,01-Vendor
FE5AB/6AB,-8100.0,2020-11-01,01-Vendor
FE5AB/6AB,-8000.1387,2020-05-01,01-Vendor
FE5AB/6AB,-7661.29,2019-12-01,01-Vendor
FE5AB/6AB,-6637.5,2020-02-01,01-Vendor
FE5AB/6AB,-6133.33,2020-04-01,01-Vendor
FE5AB/6AB,-5419.35,2019-10-01,01-Vendor
FE5AB/6AB,-5122.22,2020-08-01,01-Vendor
FE5AB/6AB,-4496.2,2019-12-01,01-Vendor
FE5AB/6AB,-4006.88,2020-12-01,01-Vendor
FE5AB/6AB,-3833.33,2020-07-01,01-Vendor
FE5AB/6AB,-3789.54,2020-11-01,01-Vendor
FE5AB/6AB,-3293.5,2019-09-01,01-Vendor
FE5AB/6AB,-2967.74,2020-03-01,01-Vendor
FE5AB/6AB,-2835.0,2020-05-01,01-Vendor
FE5AB/6AB,-2786.25,2021-01-01,01-Vendor
FE5AB/6AB,-2750.0,2020-08-01,01-Vendor
FE5AB/6AB,-2666.67,2019-09-01,01-Vendor
FE5AB/6AB,-2300.0,2020-02-01,01-Vendor
FE5AB/6AB,-2187.5,2020-09-01,01-Vendor
FE5AB/6AB,-1999.85,2020-06-01,01-Vendor
FE5AB/6AB,-1600.0,2020-06-01,01-Vendor
FE5AB/6AB,-1233.33,2020-09-01,01-Vendor
FE5AB/6AB,-1015.87,2019-10-01,01-Vendor
FE5AB/6AB,-506.87,2020-02-01,01-Vendor
FE5AB/6AB,-450.0,2020-03-01,01-Vendor
FE5AB/6AB,-300.0,2020-10-01,01-Vendor
FE5AB/6AB,-300.0,2020-11-01,01-Vendor
FE5AB/6AB,-0.0,2020-02-01,01-Vendor
