project,amount,invoiceDate,type
FE5AB/6AB,-21599.7,2020-04-01,02-RBEI
FE3AH,-47936.25,2020-04-01,02-RBEI
GE13,-53550.42,2020-04-01,02-RBEI
GE13,-49275,2020-04-01,02-RBEI
FE5AB/6AB,-60690,2020-04-01,02-RBEI
GE13,-46698.75,2020-04-01,02-RBEI
FE5AB/6AB,-62673.75,2020-04-01,02-RBEI
FE5AB/6AB,-57374.85,2020-04-01,02-RBEI
GE13,-50051.25,2020-04-01,02-RBEI
GE13,-55248.75,2020-04-01,02-RBEI
FE3AH,-24300.27,2020-04-01,02-RBEI
FE5AB/6AB,-24300.27,2020-04-01,02-RBEI
FE3AH,-44842.5,2020-04-01,02-RBEI
FE5AB/6AB,-25410,2020-04-01,02-RBEI
GE13,-25410,2020-04-01,02-RBEI
FE3AH,-34411.5,2020-04-01,02-RBEI
FE5AB/6AB,-22941,2020-04-01,02-RBEI
FE5AB/6AB,-52773.75,2020-04-01,02-RBEI
GE13,-52402.5,2020-04-01,02-RBEI
FE5AB/6AB,-54112.14,2020-04-01,02-RBEI
FE3AH,-41511.76,2020-04-01,02-RBEI
BYD,-39600.57,2020-04-01,02-RBEI
FE3AH,-32624.2,2020-04-01,02-RBEI
GE13,-52312.73,2020-04-01,02-RBEI
GE13,-45607.5,2020-04-01,02-RBEI
DFM,-3255,2020-05-01,02-RBEI
GE13,-6689,2020-05-01,02-RBEI
GE13,-59200,2020-05-01,02-RBEI
BYD,-6548.37,2020-05-01,02-RBEI
FE3AH,-1100,2020-05-01,02-RBEI
FE3AH,-80,2020-05-01,02-RBEI
GE13,-4433.37,2020-05-01,02-RBEI
GE13,-52.33,2020-05-01,02-RBEI
FE5AB/6AB,-18000,2020-05-01,02-RBEI
GE13,-3161,2020-05-01,02-RBEI
DFM,-45900,2020-05-01,02-RBEI
FE5AB/6AB,-23850,2020-05-01,02-RBEI
FE5AB/6AB,-8000.1387,2020-05-01,02-RBEI
GE13,-23850,2020-05-01,02-RBEI
GE13,-8000.14,2020-05-01,02-RBEI
FE5AB/6AB,-54000,2020-05-01,02-RBEI
FE3AH,-64035,2020-05-01,02-RBEI
GE13,-47587.64,2020-05-01,02-RBEI
GE13,-49680,2020-05-01,02-RBEI
FE5AB/6AB,-60480,2020-05-01,02-RBEI
GE13,-18000,2020-05-01,02-RBEI
FE5AB/6AB,-54810,2020-05-01,02-RBEI
FE5AB/6AB,-51412.06,2020-05-01,02-RBEI
GE13,-50670,2020-05-01,02-RBEI
GE13,-53145,2020-05-01,02-RBEI
FE3AH,-24300.27,2020-05-01,02-RBEI
FE5AB/6AB,-24300.2722,2020-05-01,02-RBEI
FE3AH,-50883.75,2020-05-01,02-RBEI
FE5AB/6AB,-2835,2020-05-01,02-RBEI
GE13,-2835,2020-05-01,02-RBEI
FE3AH,-37638,2020-05-01,02-RBEI
FE5AB/6AB,-25092,2020-05-01,02-RBEI
FE5AB/6AB,-47328.75,2020-05-01,02-RBEI
GE13,-43616.25,2020-05-01,02-RBEI
FE5AB/6AB,-49274.95,2020-05-01,02-RBEI
FE3AH,-52200.96,2020-05-01,02-RBEI
BYD,-30599.02,2020-05-01,02-RBEI
FE3AH,-51749.43,2020-05-01,02-RBEI
GE13,-42075.05,2020-05-01,02-RBEI
GE13,-44741.25,2020-05-01,02-RBEI
DFM,-5838,2020-06-01,02-RBEI
GE13,-500,2020-06-01,02-RBEI
BYD,-6903.58,2020-06-01,02-RBEI
GE13,-7063.11,2020-06-01,02-RBEI
FE3AH,-1600,2020-06-01,02-RBEI
FE5AB/6AB,-16850,2020-06-01,02-RBEI
FE5AB/6AB,-1600,2020-06-01,02-RBEI
GE13,-16850,2020-06-01,02-RBEI
GE13,-1600,2020-06-01,02-RBEI
FE5AB/6AB,-100000,2020-06-01,02-RBEI
FE3AH,-51176.25,2020-06-01,02-RBEI
GE13,-35662,2020-06-01,02-RBEI
GE13,-39228.75,2020-06-01,02-RBEI
FE3AH,-1999.85,2020-06-01,02-RBEI
FE5AB/6AB,-1999.85,2020-06-01,02-RBEI
GE13,-1999.8484,2020-06-01,02-RBEI
FE5AB/6AB,-43260,2020-06-01,02-RBEI
FE5AB/6AB,-51165,2020-06-01,02-RBEI
FE5AB/6AB,-48938.18,2020-06-01,02-RBEI
GE13,-2700,2020-06-01,02-RBEI
GE13,-7200,2020-06-01,02-RBEI
FE3AH,-21768.75,2020-06-01,02-RBEI
FE5AB/6AB,-21768.75,2020-06-01,02-RBEI
FE3AH,-48127.5,2020-06-01,02-RBEI
FE3AH,-30692.25,2020-06-01,02-RBEI
FE5AB/6AB,-20461.5,2020-06-01,02-RBEI
DFM,-40680,2020-06-01,02-RBEI
FE5AB/6AB,-48870,2020-06-01,02-RBEI
DFM,-43425,2020-06-01,02-RBEI
GE13,-47823.75,2020-06-01,02-RBEI
FE5AB/6AB,-42862.5,2020-06-01,02-RBEI
FE3AH,-41850,2020-06-01,02-RBEI
BYD,-30599.02,2020-06-01,02-RBEI
FE3AH,-45000,2020-06-01,02-RBEI
GE13,-9000,2020-06-01,02-RBEI
GE13,-999.18,2020-06-01,02-RBEI
GE13,-41861.25,2020-06-01,02-RBEI
DFM,-15300,2020-07-01,02-RBEI
FE3AH,-36494,2020-07-01,02-RBEI
FE3AH,-13013,2020-07-01,02-RBEI
FE5AB/6AB,-13013,2020-07-01,02-RBEI
GE13,-13013,2020-07-01,02-RBEI
BYD,-6923,2020-07-01,02-RBEI
DFM,-1295,2020-07-01,02-RBEI
GE13,-11250,2020-07-01,02-RBEI
FE3AH,-350,2020-07-01,02-RBEI
GAC,-9373.2,2020-07-01,02-RBEI
GE13,-78.55,2020-07-01,02-RBEI
FE5AB/6AB,-60000,2020-07-01,02-RBEI
FE5AB/6AB,-15350,2020-07-01,02-RBEI
GE13,-15350,2020-07-01,02-RBEI
FE3AH,-41512,2020-07-01,02-RBEI
FE3AH,-19974.375,2020-07-01,02-RBEI
GE13,-19974.38,2020-07-01,02-RBEI
FE3AH,-3833.33,2020-07-01,02-RBEI
FE5AB/6AB,-3833.33,2020-07-01,02-RBEI
GE13,-3833.33,2020-07-01,02-RBEI
FE5AB/6AB,-48825,2020-07-01,02-RBEI
FE5AB/6AB,-56362,2020-07-01,02-RBEI
FE5AB/6AB,-46612.5,2020-07-01,02-RBEI
FE3AH,-25511.25,2020-07-01,02-RBEI
FE5AB/6AB,-25511.25,2020-07-01,02-RBEI
FE3AH,-53887.5,2020-07-01,02-RBEI
FE3AH,-35100,2020-07-01,02-RBEI
FE5AB/6AB,-23400,2020-07-01,02-RBEI
DFM,-34200,2020-07-01,02-RBEI
FE5AB/6AB,-49275,2020-07-01,02-RBEI
DFM,-23400,2020-07-01,02-RBEI
GE13,-44775,2020-07-01,02-RBEI
FE3AH,-40207.5,2020-07-01,02-RBEI
BYD,-52068.75,2020-07-01,02-RBEI
FE3AH,-48000,2020-07-01,02-RBEI
GE13,-18000,2020-07-01,02-RBEI
GE13,-14850,2020-07-01,02-RBEI
DFM,-14100,2020-08-01,02-RBEI
DFM,-8520.3,2020-08-01,02-RBEI
FE3AH,-350,2020-08-01,02-RBEI
FE3AH,-5100,2020-08-01,02-RBEI
BYD,-5423,2020-08-01,02-RBEI
GAC,-4686.6,2020-08-01,02-RBEI
GE13,-666,2020-08-01,02-RBEI
GE13,-384.75,2020-08-01,02-RBEI
FE5AB/6AB,-65000,2020-08-01,02-RBEI
FE3AH,-5122.22,2020-08-01,02-RBEI
FE5AB/6AB,-5122.22,2020-08-01,02-RBEI
GE13,-5122.22,2020-08-01,02-RBEI
FE3AH,-25016.25,2020-08-01,02-RBEI
GE13,-25016.25,2020-08-01,02-RBEI
HMI,-37800,2020-08-01,02-RBEI
FE3AH,-2750,2020-08-01,02-RBEI
FE5AB/6AB,-2750,2020-08-01,02-RBEI
GE13,-2750,2020-08-01,02-RBEI
FE5AB/6AB,-52815,2020-08-01,02-RBEI
FE5AB/6AB,-47250,2020-08-01,02-RBEI
FE5AB/6AB,-49717.5,2020-08-01,02-RBEI
GE13,-1800,2020-08-01,02-RBEI
FE3AH,-19635,2020-08-01,02-RBEI
FE5AB/6AB,-19635,2020-08-01,02-RBEI
FE3AH,-45450,2020-08-01,02-RBEI
FE3AH,-26550,2020-08-01,02-RBEI
FE5AB/6AB,-26550,2020-08-01,02-RBEI
DFM,-35437.5,2020-08-01,02-RBEI
FE5AB/6AB,-42750,2020-08-01,02-RBEI
DFM,-15412.5,2020-08-01,02-RBEI
FE3AH,-36787.5,2020-08-01,02-RBEI
BYD,-47280,2020-08-01,02-RBEI
FE3AH,-46316.25,2020-08-01,02-RBEI
GE13,-12125,2020-08-01,02-RBEI
GE13,-3600,2020-08-01,02-RBEI
DFM,-8100,2020-09-01,02-RBEI
FE3AH,-3064.28,2020-09-01,02-RBEI
RBJAC,-495000,2020-09-01,02-RBEI
GAC,-5148.49,2020-09-01,02-RBEI
FE3AH,-1233.33,2020-09-01,02-RBEI
FE5AB/6AB,-1233.33,2020-09-01,02-RBEI
GE13,-1233.33,2020-09-01,02-RBEI
FE3AH,-18988.13,2020-09-01,02-RBEI
GE13,-18988.125,2020-09-01,02-RBEI
HMI,-39900,2020-09-01,02-RBEI
FE3AH,-2187.5,2020-09-01,02-RBEI
FE5AB/6AB,-2187.5,2020-09-01,02-RBEI
GE13,-2187.5,2020-09-01,02-RBEI
FE5AB/6AB,-40425,2020-09-01,02-RBEI
FE5AB/6AB,-32962.5,2020-09-01,02-RBEI
FE5AB/6AB,-38088.75,2020-09-01,02-RBEI
FE3AH,-23229.38,2020-09-01,02-RBEI
FE5AB/6AB,-23229.375,2020-09-01,02-RBEI
FE3AH,-28687.5,2020-09-01,02-RBEI
FE3AH,-18000,2020-09-01,02-RBEI
FE5AB/6AB,-18000,2020-09-01,02-RBEI
DFM,-55800,2020-09-01,02-RBEI
FE5AB/6AB,-23850,2020-09-01,02-RBEI
DFM,-1687.5,2020-09-01,02-RBEI
FE3AH,-39600,2020-09-01,02-RBEI
BYD,-19140,2020-09-01,02-RBEI
FE3AH,-14936.25,2020-09-01,02-RBEI
GE13,-2700,2020-09-01,02-RBEI
BYD,-5329.2,2020-09-01,02-RBEI
FE3AH,-4430,2020-10-01,02-RBEI
DFM,-16818.05,2020-10-01,02-RBEI
GAC,-4944,2020-10-01,02-RBEI
FE5AB/6AB,-300,2020-10-01,02-RBEI
RBJAC,-330000,2020-10-01,02-RBEI
BJEV,-250000,2020-10-01,02-RBEI
FE3AH,-14540.625,2020-10-01,02-RBEI
GE13,-14540.63,2020-10-01,02-RBEI
HMI,-31395,2020-10-01,02-RBEI
FE5AB/6AB,-22387.5,2020-10-01,02-RBEI
